 Node ID,X-Coordinate,Y-Coordinate,Tag,Inflows,Treatment,Invert Elev. (ft),Rim Elev. (ft),Depth (ft),Initial Depth (ft),Surcharge Depth (ft),Ponded Area (ft²),Baseline (cfs),Baseline Pattern,Scale Factor,Average Value (cfs),Time Pattern 1,Time Pattern 2,Time Pattern 3,Time Pattern 4,Hydrograph,Sewershed Area (ac),Avg. Depth (ft),Max. Depth (ft),Max. HGL (ft),Time Max. HGL (M/D/Y),Rep. Max. Depth (ft),Max. Lat. Inflow (cfs),Max. Total Inflow (cfs),Total Lat. Inflow (MG),Total inflow (MG),Flow Error (%),Hours Surcharged (h),Max. Surcharge (ft),Min. Freeboard (ft),Hours Flooded (h),Max. Flood Rate (cfs),Total Flood Vol. (MG),Max. Pond Vol. (1000 ft³),Contributing Area (ac),Contributing Imp. Area (ac),Max. Unit Flow (cfs/ac),GIS_LENGTH (m),GIS_AREA (m²),GIS_PARTS
92090040,1363636.245,17150253.45,,YES,NO,-5.54,15,20.54,0,0,0,0,,1,0,,,,,,0,0.2,0.26,-5.28,1/1/00 7:45,0.26,0.01,0.13,0.007,0.106,0,0,0,20.28,0,0,0,0,0,0,0,0,0,1
92090041,1363608.069,17150358.1,,YES,NO,-5.18,15,20.18,0,0,0,0,,1,0,,,,,,0,0.04,0.05,-5.13,1/1/00 7:31,0.05,0.01,0.01,0.007,0.007,0,0,0,20.13,0,0,0,0,0,0,0,0,0,1
92090042,1363690.362,17150228.4,,YES,NO,-5.39,14.91,20.3,0,0,0,0,,1,0,,,,,,0,0.17,0.22,-5.17,1/1/00 7:45,0.22,0.01,0.11,0.007,0.092,0,0,0,20.08,0,0,0,0,0,0,0,0,0,1
92090070,1363949.469,17150130.86,,YES,NO,-4.63,14.07,18.7,0,0,0,0,,1,0,,,,,,0,0.05,0.06,-4.57,1/1/00 7:31,0.06,0.01,0.01,0.007,0.007,0,0,0,18.64,0,0,0,0,0,0,0,0,0,1
92090090,1363941.085,17150112.7,,YES,NO,-4.7,14.01,18.71,0,0,0,0,,1,0,,,,,,0,0.17,0.21,-4.49,1/1/00 7:45,0.21,0.01,0.1,0.007,0.085,0,0,0,18.5,0,0,0,0,0,0,0,0,0,1
92090100,1364299.97,17149947,,YES,NO,-3.71,12.71,16.42,0,0,0,0,,1,0,,,,,,0,0.15,0.19,-3.52,1/1/00 7:45,0.19,0.01,0.08,0.007,0.072,0,0,0,16.23,0,0,0,0,0,0,0,0,0,1
92100100,1365134.211,17150261.52,,YES,NO,0.39,12.15,11.76,0,0,0,0,,1,0,,,,,,0,0.02,0.03,0.42,1/1/00 7:31,0.03,0,0,0.001,0.001,0,0,0,11.73,0,0,0,0,0,0,0,0,0,1
92100110,1364678.174,17150239.64,,YES,NO,-1.61,13.67,15.28,0,0,0,0,,1,0,,,,,,0,0.06,0.07,-1.54,1/1/00 7:45,0.07,0,0.01,0.001,0.008,0,0,0,15.21,0,0,0,0,0,0,0,0,0,1
92100120,1364684.333,17150252.99,,YES,NO,-1.56,13.71,15.27,0,0,0,0,,1,0,,,,,,0,0.02,0.03,-1.53,1/1/00 7:31,0.03,0,0,0.001,0.001,0,0,0,15.24,0,0,0,0,0,0,0,0,0,1
92100130,1364805.013,17150185.19,,YES,NO,-1.15,13.44,14.59,0,0,0,0,,1,0,,,,,,0,0.05,0.06,-1.09,1/1/00 7:45,0.06,0,0.01,0.001,0.006,0,0,0,14.53,0,0,0,0,0,0,0,0,0,1
92100150,1365050.463,17150079.82,,YES,NO,-0.27,12.94,13.21,0,0,0,0,,1,0,,,,,,0,0.04,0.05,-0.22,1/1/00 9:16,0.05,0,0.01,0.001,0.005,0,0,0,13.16,0,0,0,0,0,0,0,0,0,1
92100160,1364579.536,17150025.83,,YES,NO,-2.2,12.92,15.12,0,0,0,0,,1,0,,,,,,0,0.06,0.07,-2.13,1/1/00 7:45,0.07,0,0.01,0.001,0.01,0,0,0,15.05,0,0,0,0,0,0,0,0,0,1
92100170,1365295.421,17149990.98,,YES,NO,0.64,10.54,9.9,0,0,0,0,,1,0,,,,,,0,0.02,0.03,0.67,1/1/00 7:31,0.03,0,0,0.001,0.001,0,0,0,9.87,0,0,0,0,0,0,0,0,0,1
92100190,1365289.463,17149977.22,,YES,NO,0.59,10.59,10,0,0,0,0,,1,0,,,,,,0,0.03,0.04,0.63,1/1/00 7:43,0.04,0,0,0.001,0.002,0,0,0,9.96,0,0,0,0,0,0,0,0,0,1
92100220,1364478.786,17149792.85,,YES,NO,-2.84,12.11,14.95,0,0,0,0,,1,0,,,,,,0,0.13,0.16,-2.68,1/1/00 7:45,0.16,0.01,0.06,0.007,0.051,0,0,0,14.79,0,0,0,0,0,0,0,0,0,1
92100230,1364341.59,17149784.6,,YES,NO,-3.29,12.11,15.4,0,0,0,0,,1,0,,,,,,0,0.15,0.18,-3.11,1/1/00 7:45,0.18,0.01,0.08,0.007,0.065,0,0,0,15.22,0,0,0,0,0,0,0,0,0,1
92100240,1364598.394,17149740.08,,YES,NO,-2.41,11.88,14.29,0,0,0,0,,1,0,,,,,,0,0.11,0.14,-2.27,1/1/00 7:45,0.14,0.01,0.04,0.007,0.034,0,0,0,14.15,0,0,0,0,0,0,0,0,0,1
92100250,1364446,17149736.4,,YES,NO,-3,11.91,14.91,0,0,0,0,,1,0,,,,,,0,0.14,0.17,-2.83,1/1/00 7:45,0.17,0.01,0.07,0.007,0.058,0,0,0,14.74,0,0,0,0,0,0,0,0,0,1
92100260,1364991.489,17149661.74,,YES,NO,-0.83,11.5,12.33,0,0,0,0,,1,0,,,,,,0,0.08,0.11,-0.72,1/1/00 7:45,0.11,0.01,0.02,0.007,0.021,0,0,0,12.22,0,0,0,0,0,0,0,0,0,1
92100280,1364956.37,17149582.14,,YES,NO,-1.12,11.22,12.34,0,0,0,0,,1,0,,,,,,0,0.1,0.12,-1,1/1/00 7:45,0.12,0.01,0.03,0.007,0.028,0,0,0,12.22,0,0,0,0,0,0,0,0,0,1
92100300,1365529.485,17149419.5,,YES,NO,0.65,10,9.35,0,0,0,0,,1,0,,,,,,0,0.07,0.09,0.74,1/1/00 7:45,0.09,0.01,0.02,0.007,0.014,0,0,0,9.26,0,0,0,0,0,0,0,0,0,1
92100320,1365967.177,17149222.43,,YES,NO,1.85,8.49,6.64,0,0,0,0,,1,0,,,,,,0,0.05,0.06,1.91,1/1/00 7:31,0.06,0.01,0.01,0.007,0.007,0,0,0,6.58,0,0,0,0,0,0,0,0,0,1
OF-1,1363941.085,17150112.7,,YES,NO,-4.7,14.01,18.71,0,0,0,0,,1,0,,,,,,0,0.17,0.21,-4.49,1/1/00 7:45,0.21,0.01,0.1,0.007,0.085,0,0,0,18.5,0,0,0,0,0,0,0,0,0,1