Name,Inlet Node,Outlet Node,Tag,Length (ft),Roughness,Inlet Offset (ft),Outlet Offset (ft),Initial Flow (cfs),Flow Limit (cfs),Entry Loss Coeff.,Exit Loss Coeff.,Avg. Loss Coeff.,Seepage Rate (in/hr),Flap Gate,Cross-Section,Geom1 (ft),Geom2 (ft),Geom3,Geom4,Barrels,Transect,Shape Curve,Culvert Code,Control Rules,Street,Inlets,Slope (ft/ft),Max. |Flow| (cfs),Time Max. Flow (M/D/Y),Max. |Velocity| (ft/s),Max/Full Flow,Max/Full Depth,Max. Volume (ft³),Inlet Structure,Capture Node,Number of Inlets,Percent Clogged,Flow Restriction (cfs),Depression Height (ft),Depression Width (ft),Inlet Placement,Full Both Ends (h),Full Upstream (h),Full Downstream (h),Above Full Normal (h),Capacity Limited (h),Length Factor (fraction),Dry (fraction),Subcritical (fraction),Supercritical (fraction),Normal Limited (fraction),Inlet Control (fraction),Maximum Spread (ft),Maximum Depth (ft),Inlet Location,Peak Flow Capture (%),Average Capture (%),Bypass Frequency (%),Back Flow Frequency (%),Peak Capture/Inlet,Peak Bypass Flow,Max. Spread (ft),Contributing Area (ac),Contributing Imp. Area (ac),Max. Unit Flow (cfs/ac),GIS_LENGTH (m),GIS_AREA (m²),GIS_PARTS
092090040-092090030,92090040,OF-1,,259.1827306,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00177,0.13,1/1/00 9:16,0.89,0.21,0.31,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.006,0,1
092090041-092090040,92090041,92090040,,108.3816702,0.013,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00332,0.01,1/1/00 9:16,0.86,0.01,0.08,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.036,0,1
092090042-092090040,92090042,92090040,,59.63120191,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00252,0.11,1/1/00 7:46,0.95,0.15,0.26,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.176,0,1
092090070-092090090,92090070,92090090,,20.00012407,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.0035,0.01,1/1/00 7:38,0.58,0.02,0.09,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.097,0,1
092090090-092090042,92090090,92090042,,276.1319784,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.0025,0.1,1/1/00 9:16,0.95,0.14,0.25,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.168,0,1
092090100-092090090,92090100,92090090,,395.2900355,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.0025,0.08,1/1/00 9:17,0.91,0.12,0.23,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.489,0,1
092100100-092100150,92100100,92100150,,200.0696808,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.0033,0,1/1/00 9:16,0.4,0,0.04,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.983,0,1
092100110-092100160,92100110,92100160,,235.4653363,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00251,0.01,1/1/00 9:16,0.5,0.01,0.08,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.772,0,1
092100120-092100110,92100120,92100110,,14.70157625,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.0034,0,1/1/00 7:42,0.34,0,0.04,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,1
092100130-092100110,92100130,92100110,,138.0321515,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00333,0.01,1/1/00 7:46,0.5,0.02,0.09,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.074,0,1
092100150-092100130,92100150,92100130,,267.1125748,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00329,0.01,1/1/00 9:19,0.48,0.01,0.08,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.419,0,1
092100160-092100220,92100160,92100220,,254.8924494,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00251,0.01,1/1/00 9:16,0.5,0.02,0.09,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.694,0,1
092100170-092100190,92100170,92100190,,15.00009366,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00333,0,1/1/00 7:43,0.34,0,0.04,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.572,0,1
092100190-092100150,92100190,92100150,,260.0929622,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00331,0,1/1/00 9:16,0.46,0.01,0.06,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.279,0,1
092100220-092100250,92100220,92100250,,65.28566266,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00245,0.06,1/1/00 7:46,0.8,0.09,0.2,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,1
092100230-092090100,92100230,92090100,,167.6513868,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00251,0.08,1/1/00 9:16,0.87,0.11,0.22,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.102,0,1
092100240-092100220,92100240,92100220,,130.7315326,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00329,0.04,1/1/00 9:16,0.82,0.09,0.2,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.848,0,1
092100250-092100230,92100250,92100230,,115.0016079,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00252,0.07,1/1/00 7:46,0.84,0.1,0.21,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.053,0,1
092100260-092100280,92100260,92100280,,87.00250176,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.00333,0.02,1/1/00 9:16,0.73,0.05,0.16,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,1
092100280-092100240,92100280,92100240,,391.2684375,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.666666667,0,0,0,1,,,,NO,,NO,0.0033,0.03,1/1/00 9:16,0.81,0.08,0.18,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.263,0,1
092100300-092100260,92100300,92100260,,590.0170077,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.00251,0.02,1/1/00 9:17,0.6,0.02,0.1,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.843,0,1
092100320-092100300,92100320,92100300,,480.0135333,0.02,0,0,0,0,0,0,0,0,NO,CIRCULAR,0.833333333,0,0,0,1,,,,NO,,NO,0.0025,0.01,1/1/00 9:16,0.6,0.01,0.08,0,,,1,0,0,0,0,AUTOMATIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.313,0,1